Instance Size n, Elapsed Time
1,2.149e-06
1,1.122e-06
1,1.079e-06
2,2.166e-06
2,1.918e-06
2,1.844e-06
3,4.359e-06
3,4.333e-06
3,4.065e-06
4,9.098e-06
4,1.008e-05
4,9.312e-06
5,2.0611e-05
5,2.0837e-05
5,2.9779e-05
6,4.2625e-05
6,4.2863e-05
6,4.2165e-05
7,9.2089e-05
7,9.1902e-05
7,9.222e-05
8,0.000198576
8,0.000217885
8,0.000216871
9,0.000455875
9,0.000422341
9,0.000481794
10,0.00108564
10,0.000988177
10,0.00100918
11,0.00191094
11,0.00185778
11,0.0018598
12,0.0105478
12,0.0040554
12,0.00396897
13,0.00904241
13,0.00913891
13,0.00921245
14,0.0668643
14,0.018984
14,0.0229925
15,0.2192
15,0.147731
15,0.177447
16,0.273526
16,0.235486
16,0.162748
17,0.207609
17,0.233712
17,0.272982
18,0.428407
18,0.416356
18,0.422022
19,0.749435
19,0.883287
19,0.748716
20,1.40783
20,1.38517
20,1.50088
21,2.78726
21,2.75056
21,2.85316
22,5.4531
22,5.53401
22,5.48463
23,10.9921
23,11.0066
23,11.4024
24,22.9501
24,22.3788
24,22.612
25,45.1295
25,45.2167
25,45.4686
26,95.6651
26,97.068
26,96.6861
